id,week_number,precise_rating,number_of_ratings,number_of_ratings_per_week
1,1,3.7073,164,0.0
1,4,3.7152,165,1.0
1,6,3.7152,165,0.0
1,7,3.7152,165,0.0
1,8,3.7152,165,0.0
1,11,3.7152,165,0.0
1,12,3.7152,165,0.0
1,14,3.7152,165,0.0
1,17,3.7152,165,0.0
1,18,3.7152,165,0.0
1,30,3.7317,164,-1.0
1,35,3.7317,164,0.0
1,40,3.7317,164,0.0
1,50,3.7317,164,0.0
2,1,4.1617,266,0.0
2,3,4.1758,273,7.0
2,4,4.1758,273,0.0
2,15,4.1815,281,8.0
3,1,3.6107,262,0.0
3,2,3.6107,262,0.0
3,3,3.6008,263,1.0
3,4,3.6023,264,1.0
3,6,3.5827,266,2.0
3,8,3.5634,268,2.0
3,9,3.5634,268,0.0
3,10,3.5634,268,0.0
3,12,3.5634,268,0.0
3,14,3.5651,269,1.0
3,16,3.5461,271,2.0
3,17,3.5461,271,0.0
3,20,3.5275,273,2.0
3,31,3.4695,279,6.0
3,33,3.4607,280,1.0
3,42,3.4276,283,3.0
3,43,3.4276,283,0.0
3,47,3.4175,285,2.0
3,49,3.4175,285,0.0
3,51,3.4175,285,0.0
3,52,3.4175,285,0.0
4,1,4.5397,2255,0.0
4,2,4.5365,2287,32.0
4,3,4.5333,2314,27.0
4,4,4.5281,2348,34.0
4,6,4.5301,2379,31.0
4,9,4.5295,2408,29.0
4,10,4.5312,2423,15.0
4,16,4.5356,2502,79.0
4,17,4.5296,2551,49.0
6,1,4.1571,70,0.0
6,2,4.1571,70,0.0
6,4,4.1571,70,0.0
6,5,4.1571,70,0.0
7,1,5.0,4,0.0
7,2,5.0,4,0.0
7,3,5.0,4,0.0
7,4,5.0,4,0.0
7,6,5.0,4,0.0
7,7,5.0,4,0.0
7,8,5.0,4,0.0
7,9,5.0,4,0.0
7,10,5.0,4,0.0
7,11,5.0,4,0.0
7,12,5.0,4,0.0
7,14,5.0,4,0.0
7,16,5.0,5,1.0
7,17,5.0,9,4.0
7,18,5.0,9,0.0
7,50,5.0,8,-1.0
8,1,4.1544,285,0.0
8,4,4.1672,293,8.0
8,21,4.1479,338,45.0
8,24,4.1615,353,15.0
8,25,4.1662,355,2.0
8,32,4.1096,374,19.0
8,36,4.1108,388,14.0
8,38,4.102,392,4.0
9,1,5.0,4,0.0
9,4,5.0,4,0.0
9,5,5.0,4,0.0
10,1,3.0,3,0.0
10,4,3.0,3,0.0
10,5,3.0,3,0.0
11,1,4.3922,255,0.0
11,2,4.3891,257,2.0
11,4,4.3962,260,3.0
11,5,4.3985,261,1.0
12,1,4.0,3,0.0
12,2,4.0,3,0.0
12,3,4.0,3,0.0
12,4,4.0,3,0.0
12,6,4.0,3,0.0
12,9,4.0,3,0.0
12,10,4.0,3,0.0
12,16,4.0,3,0.0
12,17,4.0,3,0.0
14,1,4.2638,2426,0.0
14,4,4.2608,2573,147.0
14,5,4.2588,2585,12.0
15,1,3.2453,53,0.0
15,4,3.2453,53,0.0
15,6,3.2453,53,0.0
15,7,3.2453,53,0.0
15,8,3.2453,53,0.0
15,11,3.2453,53,0.0
15,12,3.2453,53,0.0
15,14,3.2037,54,1.0
15,17,3.2182,55,1.0
15,18,3.2182,55,0.0
15,30,3.2687,67,12.0
15,35,3.2639,72,5.0
15,40,3.2838,74,2.0
15,50,3.3038,79,5.0
17,1,4.5399,4508,0.0
17,2,4.5396,4520,12.0
17,3,4.5393,4524,4.0
17,4,4.5388,4529,5.0
17,6,4.5383,4546,17.0
17,9,4.5393,4558,12.0
17,10,4.5397,4562,4.0
17,16,4.5404,4582,20.0
17,17,4.5394,4594,12.0
18,1,4.4635,630,0.0
18,3,4.453,638,8.0
18,4,4.453,638,0.0
18,15,4.4558,645,7.0
19,1,3.892,324,0.0
19,4,3.8754,345,21.0
19,48,3.8873,417,72.0
20,1,3.9693,261,0.0
20,2,3.962,263,2.0
20,3,3.958,262,-1.0
20,4,3.9508,264,2.0
20,6,3.9547,265,1.0
20,7,3.9547,265,0.0
20,8,3.9547,265,0.0
20,9,3.9547,265,0.0
20,10,3.9547,265,0.0
20,11,3.9547,265,0.0
20,12,3.9547,265,0.0
20,14,3.9547,265,0.0
20,16,3.9547,265,0.0
20,17,3.9547,265,0.0
20,18,3.9586,266,1.0
20,50,3.9503,302,36.0
21,1,3.6087,46,0.0
21,4,3.6383,47,1.0
22,1,4.1853,312492,0.0
22,4,4.1796,319818,7326.0
22,5,4.1797,321103,1285.0
22,15,4.181,330866,9763.0
22,44,4.1705,356474,25608.0
24,1,4.7806,547,0.0
24,4,4.7794,553,6.0
25,1,4.5088,627,0.0
25,2,4.504,631,4.0
25,4,4.5103,631,0.0
25,5,4.5246,629,-2.0
27,1,4.0,7,0.0
27,3,4.0,7,0.0
27,4,4.0,7,0.0
27,15,4.125,8,1.0
28,1,3.9091,22,0.0
28,2,3.913,23,1.0
28,3,3.913,23,0.0
28,4,3.913,23,0.0
28,6,3.913,23,0.0
28,8,3.913,23,0.0
28,9,3.913,23,0.0
28,10,3.913,23,0.0
28,12,3.913,23,0.0
28,14,3.913,23,0.0
28,16,3.913,23,0.0
28,17,3.913,23,0.0
28,20,3.913,23,0.0
28,31,3.913,23,0.0
28,33,3.7917,24,1.0
28,42,3.7917,24,0.0
28,43,3.7917,24,0.0
28,47,3.7692,26,2.0
28,49,3.7692,26,0.0
28,51,3.7692,26,0.0
28,52,3.7692,26,0.0
29,1,4.3458,2293,0.0
29,3,4.3451,2301,8.0
29,4,4.3465,2306,5.0
29,15,4.3427,2343,37.0
30,1,2.8667,15,0.0
30,2,2.8667,15,0.0
30,3,2.8667,15,0.0
30,4,2.8667,15,0.0
30,6,2.8667,15,0.0
30,9,2.8667,15,0.0
30,10,2.8667,15,0.0
30,16,2.5263,19,4.0
30,17,2.5263,19,0.0
31,1,3.5103,194,0.0
31,4,3.5226,199,5.0
32,1,4.0685,73,0.0
32,4,4.0921,76,3.0
32,21,4.1375,80,4.0
32,24,4.1358,81,1.0
32,25,4.1358,81,0.0
32,32,4.125,80,-1.0
32,36,4.0602,83,3.0
32,38,4.0602,83,0.0
32,46,4.0824,85,2.0
33,1,5.0,2,0.0
33,4,4.25,4,2.0
33,37,4.25,4,0.0
34,1,4.1111,18,0.0
34,4,4.1111,18,0.0
34,37,3.9048,21,3.0
36,1,4.1722,151,0.0
36,3,4.1579,152,1.0
