app_id,median_release_interval
5,33.0
13,0.0
16,0.0
23,0.0
26,0.0
35,10.0
37,0.0
47,0.0
49,0.0
50,1.0
53,13.0
55,0.0
62,8.0
63,0.0
68,0.0
71,0.0
73,11.0
82,21.0
86,0.0
88,3.0
106,0.0
115,0.0
132,0.0
137,0.0
151,0.0
155,0.0
157,0.0
162,29.0
166,0.0
168,0.0
175,0.0
178,0.0
179,13.0
185,0.0
187,29.0
194,11.0
203,1.0
212,0.0
216,3.5
218,0.0
227,0.0
229,2.8
237,0.0
254,30.0
255,0.0
256,22.0
260,0.0
263,0.0
267,11.0
284,0.0
286,0.0
287,31.0
289,0.0
293,10.5
301,0.0
313,0.0
317,0.0
318,0.0
319,0.0
329,8.0
333,0.0
346,0.0
348,0.0
354,2.6875
357,11.5
358,0.0
359,0.0
361,0.0
364,32.0
380,0.0
381,0.0
383,0.0
384,0.0
385,0.0
387,12.0
390,0.0
394,0.0
410,0.0
414,14.0
415,0.0
425,0.0
432,0.0
434,12.0
435,0.0
438,2.3158
440,0.0
447,0.0
448,2.3684
451,8.0
456,0.0
458,0.0
468,8.0
469,8.0
470,8.0
472,0.0
474,0.0
475,4.5
480,9.8
490,14.3333
500,0.0
521,0.0
540,0.0
552,0.0
693,0.0
701,0.0
760,0.0
761,0.0
774,0.0
775,0.0
782,0.0
790,0.0
813,25.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
845,0.0
850,0.0
903,25.0
917,25.0
942,0.0
973,0.0
982,0.0
984,0.0
1004,8.0
1005,1.0
1007,7.0
1025,1.0
1027,4.0
1028,7.0
1030,3.5
1032,7.0
1033,3.6667
1034,3.5
1052,4.0
1067,7.0
1079,3.5
1081,4.0
1082,4.0
1087,4.0
1092,4.0
1094,8.0
1100,4.0
1106,7.0
1107,4.0
1128,1.0
1138,16.0
1144,24.0
1149,7.0
1150,24.0
1151,48.0
1154,48.0
1156,7.0
1157,48.0
1160,4.0
1164,48.0
1165,4.0
1166,48.0
1168,48.0
1170,24.0
1171,48.0
1173,24.0
1174,48.0
1177,16.0
1178,4.0
1179,4.0
1180,48.0
1181,14.0
1183,4.5
1187,48.0
1191,24.0
1194,9.0
1198,48.0
1199,12.0
1201,22.0
1205,8.8
1206,44.0
1214,12.0
1216,20.0
1217,40.0
1222,18.0
1229,24.5
1232,10.0
1243,4.7
1249,24.5
1251,24.5
1252,11.25
1253,9.4
1254,5.625
1256,40.0
1258,5.8
1259,9.6667
1261,14.0
1262,5.0
1264,14.5
1267,29.0
1268,29.0
1270,4.6667
1272,14.0
1273,6.0
1274,6.0
1275,14.5
1276,14.0
1279,6.0
1281,3.8462
1287,13.6667
1290,18.5
1293,21.5
1295,3.0
1296,8.3333
1298,37.0
1300,25.0
1301,9.25
1302,6.5714
1306,2.6667
1307,25.0
1310,12.3333
1311,7.5
1313,5.625
1314,21.5
1319,6.4286
1325,11.5
1329,17.5
1333,21.5
1337,21.5
1338,14.3333
1341,22.0
1349,8.5
1353,27.0
1354,43.0
1356,1.0
1360,21.5
1362,18.5
1363,3.3077
1365,16.0
1367,8.0
1370,17.0
1371,12.3333
1372,12.3333
1373,17.0
1375,18.5
1376,16.0
1377,17.0
1378,8.5
1379,17.0
1380,12.5
1381,16.0
1382,17.0
1385,21.0
1386,12.5
1388,3.5833
1390,25.0
1391,17.0
1393,4.0
1395,5.2857
1396,8.0
1398,8.6
1399,8.6
1401,3.5833
1402,21.5
1404,8.0
1405,9.6
1406,37.0
1407,4.3
1408,9.25
1409,4.2222
1410,21.0
1411,2.5
1412,33.0
1413,3.3846
1414,4.875
1416,39.0
1422,5.5714
1423,3.3846
1424,11.0
1425,8.25
1426,12.0
1632,1.0
1683,1.0
1791,1.0
1806,1.0
1866,1.0
1872,1.0
1874,1.0
1881,1.0
1928,6.2857
1931,16.5
1933,4.7143
1934,3.8889
1935,6.0
1936,21.0
1937,33.0
1941,6.3333
1943,5.4286
1944,43.0
1950,13.0
1951,7.0
1954,43.0
1958,23.0
1961,11.5
1962,11.5
1964,21.5
1966,7.1667
1967,6.1429
1968,23.0
1969,11.5
1970,23.0
1972,14.3333
1973,43.0
1974,21.5
1976,43.0
1977,11.5
1978,23.0
1980,11.5
1982,11.5
1985,23.0
1988,10.0
1989,1.0
1990,11.0
1991,21.5
1993,11.5
1997,7.6667
1998,23.0
1999,11.0
2000,9.3333
2001,5.75
2002,21.5
2005,43.0
2007,23.0
2009,11.5
2010,23.0
2015,11.5
2016,33.0
2023,11.5
2024,21.5
2026,11.5
2027,11.5
2029,5.5
2035,5.6
2043,8.6
2045,7.1667
2046,8.6
2054,33.0
2055,23.0
2058,16.5
2059,11.5
2060,23.0
2063,8.25
2065,43.0
2069,8.6
2075,8.6
2077,28.0
2091,11.0
2093,21.5
2095,11.0
2102,44.0
2105,4.0
2109,7.3333
2110,20.0
2116,5.7143
2117,6.0
2118,36.0
2119,3.0
2120,10.6667
2121,15.0
2122,4.8889
2123,5.6
2124,3.0
2125,4.5714
2126,9.3333
2127,5.8571
2131,23.0
2142,20.0
2143,3.8182
2144,8.5
2148,40.0
2151,6.0
2152,6.6667
2154,6.6667
2155,4.0
2157,6.6667
2158,11.0
2159,6.0
2160,6.0
2161,12.0
2162,8.0
2164,3.75
2165,16.0
2168,7.3333
2170,2.6471
2172,5.2857
2173,3.1429
2175,2.3158
2176,37.0
2177,18.0
2179,5.5
2191,5.75
2196,6.1667
2197,5.2857
2363,6.5
2368,6.0
2370,4.0
2372,4.0
2373,4.0
2374,3.0
2376,4.0
2382,2.5
2383,4.0
2384,5.0
2389,6.0
2392,6.0
2393,4.0
2399,4.0
2406,4.0
2407,4.0
2413,3.0
2418,4.0
2423,3.0
2426,5.0
2436,25.0
2437,25.0
2438,25.0
2441,25.0
2463,25.0
2476,25.0
2480,25.0
2481,25.0
2492,25.0
2498,25.0
2500,25.0
2502,10.0
2519,25.0
2521,25.0
2532,25.0
2535,25.0
2537,25.0
2540,25.0
2542,25.0
2543,25.0
2544,25.0
2548,25.0
2555,25.0
2556,25.0
2561,25.0
2563,25.0
2564,25.0
2569,25.0
2570,25.0
2571,25.0
2574,25.0
2575,25.0
2576,25.0
2577,25.0
2580,25.0
2582,25.0
2587,25.0
2588,25.0
2589,25.0
2590,25.0
2594,25.0
2615,25.0
2618,25.0
2619,25.0
2623,25.0
2624,25.0
2627,25.0
2630,25.0
2634,25.0
2645,25.0
2648,25.0
2652,25.0
2666,25.0
2675,25.0
2679,25.0
2692,25.0
2695,25.0
2699,25.0
2700,25.0
2703,25.0
2704,25.0
2712,25.0
2717,25.0
2719,25.0
2732,25.0
2738,25.0
2739,25.0
2740,25.0
2741,25.0
2750,25.0
2752,25.0
2756,25.0
2757,25.0
2762,25.0
2779,25.0
2780,25.0
2785,25.0
2786,25.0
2790,25.0
2792,25.0
2794,25.0
2797,25.0
2799,25.0
2800,25.0
2807,25.0
2809,25.0
2810,25.0
2814,25.0
2824,25.0
2827,25.0
2836,25.0
2849,25.0
2860,25.0
2867,25.0
2869,25.0
2874,25.0
2883,25.0
2897,25.0
2900,25.0
2905,25.0
2915,25.0
2925,16.5
2935,35.0
2936,8.0
2937,35.0
2940,35.0
2941,8.3333
2942,16.5
2943,9.6667
2945,6.25
2947,35.0
2948,14.5
2953,8.3333
2955,8.3333
2957,5.0
2962,6.6
2963,11.0
2967,35.0
2968,10.5
2988,35.0
3021,21.0
3024,10.0
3038,3.0
3054,16.0
3064,11.0
3072,35.0
3076,35.0
3081,16.5
3082,2.0
3084,14.5
3092,21.0
3101,4.7143
3111,35.0
3115,35.0
3121,39.0
3125,8.0
3130,21.0
3135,8.0
3137,35.0
3139,5.5
3143,35.0
3149,8.3333
3153,39.0
3154,35.0
3162,39.0
3163,21.0
3164,12.0
3167,35.0
3170,12.0
3174,35.0
3187,12.0
3189,39.0
3204,9.6667
