release_id,app_id,release_week
1,5,1
2,5,4
3,5,37
4,13,1
5,13,4
6,16,1
7,16,48
8,23,1
9,23,48
10,26,1
11,26,15
12,35,1
13,35,4
14,35,5
15,35,26
16,35,34
17,37,1
18,37,21
19,47,1
20,47,26
21,49,1
22,49,39
23,50,1
24,50,4
25,50,5
26,53,1
27,53,4
28,53,17
29,53,30
30,55,1
31,55,4
32,62,1
33,62,26
34,62,34
35,63,1
36,63,31
37,68,1
38,68,48
39,71,1
40,71,40
41,73,1
42,73,4
43,73,9
44,73,18
45,73,39
46,73,48
47,82,1
48,82,25
49,82,46
50,86,1
51,86,48
52,88,1
53,88,10
54,88,12
55,88,16
56,106,1
57,106,16
58,115,1
59,115,4
60,132,1
61,132,26
62,137,1
63,137,21
64,151,1
65,151,15
66,155,1
67,155,4
68,157,1
69,157,4
70,162,1
71,162,15
72,162,44
73,166,1
74,166,48
75,168,1
76,168,18
77,175,1
78,175,21
79,178,1
80,178,7
81,179,1
82,179,17
83,179,30
84,185,1
85,185,44
86,187,1
87,187,15
88,187,44
89,194,1
90,194,9
91,194,16
92,194,20
93,194,42
94,203,1
95,203,4
96,203,5
97,212,1
98,212,16
99,216,1
100,216,9
101,216,10
102,216,16
103,218,1
104,218,48
105,227,1
106,227,15
107,229,1
108,229,2
109,229,4
110,229,6
111,229,9
112,229,10
113,229,16
114,237,1
115,237,34
116,254,1
117,254,12
118,254,42
119,255,1
120,255,26
121,256,1
122,256,20
123,256,42
124,260,1
125,260,4
126,263,1
127,263,21
128,267,1
129,267,4
130,267,26
131,267,34
132,267,37
133,284,1
134,284,26
135,286,1
136,286,26
137,287,1
138,287,20
139,287,51
140,289,1
141,289,21
142,293,1
143,293,4
144,293,21
145,293,24
146,293,34
147,293,46
148,301,1
149,301,15
150,313,1
151,313,21
152,317,1
153,317,21
154,318,1
155,318,26
156,319,1
157,319,15
158,329,1
159,329,11
160,329,19
161,333,1
162,333,48
163,346,1
164,346,15
165,348,1
166,348,48
167,354,1
168,354,4
169,354,7
170,354,9
171,354,11
172,354,18
173,354,23
174,354,27
175,354,30
176,354,31
177,354,33
178,354,35
179,354,39
180,354,41
181,354,43
182,354,44
183,354,45
184,354,47
185,357,1
186,357,4
187,357,19
188,357,27
189,358,1
190,358,4
191,359,1
192,359,4
193,361,1
194,361,48
195,364,1
196,364,4
197,364,36
198,380,1
199,380,4
200,381,1
201,381,21
202,383,1
203,383,4
204,384,1
205,384,48
206,385,1
207,385,48
208,387,1
209,387,34
210,387,46
211,390,1
212,390,48
213,394,1
214,394,44
215,410,1
216,410,15
217,414,1
218,414,32
219,414,46
220,415,1
221,415,15
222,425,1
223,425,26
224,432,1
225,432,32
226,434,1
227,434,34
228,434,46
229,435,1
230,435,3
231,438,1
232,438,7
233,438,9
234,438,11
235,438,19
236,438,22
237,438,23
238,438,27
239,438,28
240,438,29
241,438,33
242,438,35
243,438,39
244,438,41
245,438,43
246,438,44
247,438,45
248,438,47
249,438,48
250,438,49
251,438,51
252,440,1
253,440,5
254,447,1
255,447,48
256,448,1
257,448,7
258,448,9
259,448,11
260,448,19
261,448,22
262,448,23
263,448,27
264,448,29
265,448,31
266,448,33
267,448,35
268,448,39
269,448,40
270,448,41
271,448,43
272,448,44
273,448,47
274,448,48
275,448,51
276,448,52
277,451,1
278,451,26
279,451,34
280,456,1
281,456,48
282,458,1
283,458,25
284,468,1
285,468,11
286,468,19
287,469,1
288,469,11
289,469,19
290,470,1
291,470,11
292,470,19
293,472,1
294,472,5
295,474,1
296,474,15
297,475,1
298,475,8
299,475,11
300,475,17
301,480,1
302,480,2
303,480,20
304,480,31
305,480,43
306,480,49
307,480,51
308,490,1
309,490,7
310,490,14
311,490,30
312,490,50
313,500,1
314,500,50
315,521,1
316,521,15
317,540,1
318,540,36
319,552,1
320,552,8
321,693,1
322,693,41
323,701,1
324,701,8
325,760,1
326,760,14
327,761,1
328,761,25
329,774,1
330,774,34
331,775,1
332,775,34
333,782,1
334,782,25
335,790,1
336,790,47
337,813,1
338,813,12
339,813,37
340,833,1
341,833,17
342,834,1
343,834,17
344,835,1
345,835,17
346,836,1
347,836,17
348,837,1
349,837,17
350,845,1
351,845,17
352,850,1
353,850,17
354,903,1
355,903,12
356,903,37
357,917,1
358,917,12
359,917,37
360,942,1
361,942,37
362,973,1
363,973,42
364,982,1
365,982,25
366,984,1
367,984,25
368,1004,2
369,1004,10
370,1005,2
371,1005,3
372,1007,2
373,1007,9
374,1025,2
375,1025,3
