release_id,app_id,week_number,precise_rating,number_of_ratings,number_of_ratings_per_week
1,5,1,4.2702,4590,0.0
1,5,4,4.2608,4659,69.0
1,5,37,4.2039,5234,575.0
2,5,1,4.2702,4590,0.0
2,5,4,4.2608,4659,69.0
2,5,37,4.2039,5234,575.0
3,13,1,4.0087,2075,0.0
3,13,4,4.0123,2190,115.0
3,13,5,4.015,2206,16.0
4,16,1,3.7268,538,0.0
4,16,4,3.7233,553,15.0
4,16,48,3.7223,605,52.0
5,23,1,3.7005,207,0.0
5,23,4,3.7,210,3.0
5,23,48,3.7436,234,24.0
6,26,1,4.3051,108699,0.0
6,26,3,4.3018,111369,2670.0
6,26,4,4.3006,112237,868.0
6,26,15,4.3044,121169,8932.0
7,35,1,3.0048,5806,0.0
7,35,4,2.9374,6162,356.0
7,35,5,2.9379,6195,33.0
7,35,26,2.9583,6521,326.0
7,35,34,2.9732,6687,166.0
7,35,37,2.9743,6700,13.0
8,35,1,3.0048,5806,0.0
8,35,4,2.9374,6162,356.0
8,35,5,2.9379,6195,33.0
8,35,26,2.9583,6521,326.0
8,35,34,2.9732,6687,166.0
8,35,37,2.9743,6700,13.0
9,35,1,3.0048,5806,0.0
9,35,4,2.9374,6162,356.0
9,35,5,2.9379,6195,33.0
9,35,26,2.9583,6521,326.0
9,35,34,2.9732,6687,166.0
9,35,37,2.9743,6700,13.0
10,35,1,3.0048,5806,0.0
10,35,4,2.9374,6162,356.0
10,35,5,2.9379,6195,33.0
10,35,26,2.9583,6521,326.0
10,35,34,2.9732,6687,166.0
10,35,37,2.9743,6700,13.0
11,37,1,3.5355,2579,0.0
11,37,4,3.5332,2624,45.0
11,37,21,3.5383,2805,181.0
11,37,24,3.5313,2863,58.0
11,37,26,3.5309,2878,15.0
11,37,34,3.5279,2980,102.0
11,37,36,3.5283,2987,7.0
11,37,37,3.5288,2988,1.0
11,37,46,3.5322,3040,52.0
12,47,1,4.1063,3800,0.0
12,47,4,4.099,3887,87.0
12,47,5,4.098,3899,12.0
12,47,26,4.1161,4780,881.0
12,47,34,4.1102,5055,275.0
12,47,37,4.1003,5145,90.0
13,49,1,4.2276,145,0.0
13,49,2,4.2292,144,-1.0
13,49,3,4.2313,147,3.0
13,49,4,4.2297,148,1.0
